source,target,start,end
JurandyrJ,delucca,2018-07-24 15:20:54,2018-07-24 15:20:54
Nicolas0_0,cyrusafa,2018-07-24 15:15:17,2018-07-24 15:15:17
myialine,cyrusafa,2018-07-24 15:11:57,2018-07-24 15:11:57
he_sena,delucca,2018-07-24 15:11:48,2018-07-24 15:11:48
mayanaalmeida2,delucca,2018-07-24 15:10:55,2018-07-24 15:10:55
BLOGdoPEPE,cyrusafa,2018-07-24 15:09:48,2018-07-24 15:09:48
Andre_nDourado,delucca,2018-07-24 15:09:38,2018-07-24 15:09:38
Minduinn,MarciNog,2018-07-24 15:09:21,2018-07-24 15:09:21
WUFRN,cyrusafa,2018-07-24 15:09:06,2018-07-24 15:09:06
fdavillar,cyrusafa,2018-07-24 15:09:00,2018-07-24 15:09:00
Geovaax,cyrusafa,2018-07-24 15:08:32,2018-07-24 15:08:32
Andre_nDourado,cyrusafa,2018-07-24 15:08:18,2018-07-24 15:08:18
Pollima36,delucca,2018-07-24 15:08:13,2018-07-24 15:08:13
hbcosta,delucca,2018-07-24 15:07:39,2018-07-24 15:07:39
marinamellob,delucca,2018-07-24 15:07:34,2018-07-24 15:07:34
CaioSFerreira,delucca,2018-07-24 15:06:41,2018-07-24 15:06:41
beettle_juice,cyrusafa,2018-07-24 15:03:53,2018-07-24 15:03:53
Hermes_Berlim,delucca,2018-07-24 15:03:32,2018-07-24 15:03:32
wander17son,delucca,2018-07-24 15:03:08,2018-07-24 15:03:08
RLivre,nadanovonofront,2018-07-24 15:02:40,2018-07-24 15:02:40
FernandoCesar77,cyrusafa,2018-07-24 15:02:26,2018-07-24 15:02:26
Faelhreis,delucca,2018-07-24 15:02:21,2018-07-24 15:02:21
sams1964,delucca,2018-07-24 15:01:31,2018-07-24 15:01:31
alanajdp,delucca,2018-07-24 14:58:21,2018-07-24 14:58:21
sremanuel25,cyrusafa,2018-07-24 14:57:44,2018-07-24 14:57:44
rmoura_adv,delucca,2018-07-24 14:55:57,2018-07-24 14:55:57
carlagastal,delucca,2018-07-24 14:55:49,2018-07-24 14:55:49
oPeFalante,delucca,2018-07-24 14:54:56,2018-07-24 14:54:56
thyagoquintana,delucca,2018-07-24 14:54:51,2018-07-24 14:54:51
gutembergdias,delucca,2018-07-24 14:54:15,2018-07-24 14:54:15
Patricia_Paes10,cyrusafa,2018-07-24 14:53:46,2018-07-24 14:53:46
cardoso_deli,cyrusafa,2018-07-24 14:53:39,2018-07-24 14:53:39
grazicachapuz,delucca,2018-07-24 14:53:29,2018-07-24 14:53:29
sidfigueira77,delucca,2018-07-24 14:52:17,2018-07-24 14:52:17
OvelhaVermelha7,delucca,2018-07-24 14:51:21,2018-07-24 14:51:21
GilsonS21698261,delucca,2018-07-24 14:51:10,2018-07-24 14:51:10
victorhugo77,cyrusafa,2018-07-24 14:50:52,2018-07-24 14:50:52
ladyfantasyy,delucca,2018-07-24 14:50:36,2018-07-24 14:50:36
clayton_kr,MulherTamarindo,2018-07-24 14:50:32,2018-07-24 14:50:32
Patricia_Paes10,delucca,2018-07-24 14:49:29,2018-07-24 14:49:29
fabbioaraujo,AlemD4sSombras,2018-07-24 14:48:59,2018-07-24 14:48:59
Patricia_Paes10,cyrusafa,2018-07-24 14:48:52,2018-07-24 14:48:52
magnamoreira_,delucca,2018-07-24 14:48:49,2018-07-24 14:48:49
OvelhaVermelha7,nadanovonofront,2018-07-24 14:48:46,2018-07-24 14:48:46
